Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
0,52040,34525,1.507313541,1.574407085,0.957384882,3,1,1
0,54152,32408,1.670945446,1.574407085,1.061317281,3,1,1
200,55108,32790,1.68063434,1.574407085,1.067471276,3,1,1
200,56079,30942,1.812390925,1.574407085,1.151157755,3,1,1
200,55603,31893,1.743423322,1.574407085,1.10735231,3,1,1
400,56307,28426,1.980827412,1.574407085,1.258141831,3,1,1
400,57723,30928,1.866367046,1.574407085,1.185441214,3,1,1
400,58832,28129,2.091506986,1.574407085,1.32844104,3,1,1
600,61726,26975,2.288266914,1.574407085,1.453415026,3,1,1
600,68404,29056,2.354212555,1.574407085,1.495301043,3,1,1
600,65856,29167,2.257894195,1.574407085,1.434123498,3,1,1
0,74363,43906,1.693686512,1.638971355,1.03338384,3,1,2
0,68246,41381,1.649210991,1.638971355,1.006247599,3,1,2
0,66902,42504,1.574016563,1.638971355,0.960368562,3,1,2
800,81856,32851,2.491735411,1.638971355,1.52030443,3,1,2
800,82959,33958,2.442988397,1.638971355,1.490561985,3,1,2
800,83126,33951,2.448410945,1.638971355,1.493870492,3,1,2
1000,85474,31597,2.705130234,1.638971355,1.650504888,3,1,2
1000,87908,34649,2.537100638,1.638971355,1.547983514,3,1,2
1000,84700,35760,2.368568233,1.638971355,1.445155356,3,1,2
1500,84332,31234,2.700006403,1.638971355,1.647378641,3,1,2
1500,82794,32950,2.512716237,1.638971355,1.533105645,3,1,2
1500,88598,35619,2.487380331,1.638971355,1.517647226,3,1,2
0,24508,32744,0.748473003,0.755007801,0.991344727,1,2,1
0,23566,31288,0.753196114,0.755007801,0.997600439,1,2,1
0,24651,32293,0.763354287,0.755007801,1.011054834,1,2,1
200,25871,31781,0.814039835,0.755007801,1.078187317,1,2,1
200,23519,33504,0.701975883,0.755007801,0.929759775,1,2,1
200,24069,31564,0.762545938,0.755007801,1.009984185,1,2,1
400,27884,31135,0.895583748,0.755007801,1.186191383,1,2,1
400,29049,32202,0.902086827,0.755007801,1.194804644,1,2,1
400,26708,32086,0.832387957,0.755007801,1.102489214,1,2,1
600,27688,30668,0.902830312,0.755007801,1.195789382,1,2,1
600,30355,32210,0.94240919,0.755007801,1.248211195,1,2,1
600,28643,30400,0.942203947,0.755007801,1.247939354,1,2,1
0,24708,32474,0.760854838,0.758920656,1.002548595,1,2,2
0,24550,31652,0.775622394,0.758920656,1.022007225,1,2,2
0,24231,32732,0.740284737,0.758920656,0.97544418,1,2,2
800,29224,31192,0.936906899,0.758920656,1.234525496,1,2,2
800,29745,29293,1.015430308,0.758920656,1.337992713,1,2,2
800,26067,28000,0.930964286,0.758920656,1.226695147,1,2,2
1000,28639,33310,0.85977184,0.758920656,1.132887652,1,2,2
1000,27703,29128,0.951078001,0.758920656,1.253198201,1,2,2
1000,29625,28994,1.021763123,0.758920656,1.346337216,1,2,2
1500,28056,30345,0.924567474,0.758920656,1.218266319,1,2,2
1500,27926,30565,0.913659414,0.758920656,1.203893196,1,2,2
1500,28866,30553,0.944784473,0.758920656,1.244905466,1,2,2
0,15418,20052,0.768900858,0.799080123,0.962232492,2,2,1
0,17255,21356,0.807969657,0.799080123,1.011124709,2,2,1
0,17656,21522,0.820369854,0.799080123,1.026642799,2,2,1
200,21848,25613,0.853004334,0.799080123,1.067482858,2,2,1
200,21481,24363,0.881705865,0.799080123,1.103401073,2,2,1
200,24686,26938,0.916400624,0.799080123,1.146819446,2,2,1
400,25140,29534,0.85122232,0.799080123,1.065252777,2,2,1
400,28113,30352,0.926232209,0.799080123,1.159123074,2,2,1
400,28723,31019,0.92598085,0.799080123,1.158808515,2,2,1
600,27927,29576,0.944245334,0.799080123,1.181665401,2,2,1
600,29908,30466,0.981684501,0.799080123,1.228518233,2,2,1
600,29745,30166,0.98604389,0.799080123,1.233973743,2,2,1
0,18886,25282,0.747013686,0.76935032,0.970966888,2,2,2
0,21375,26603,0.80348081,0.76935032,1.044362743,2,2,2
0,20226,26699,0.757556463,0.76935032,0.984670369,2,2,2
800,24539,24968,0.982818007,0.76935032,1.277464871,2,2,2
800,25941,23962,1.082589099,0.76935032,1.407147137,2,2,2
800,27613,27022,1.021871068,0.76935032,1.328225962,2,2,2
1000,30463,29208,1.04296768,0.76935032,1.355647296,2,2,2
1000,29997,27966,1.0726239,0.76935032,1.394194391,2,2,2
1000,32465,29324,1.107113627,0.76935032,1.439024069,2,2,2
1500,29655,30071,0.986166074,0.76935032,1.281816682,2,2,2
1500,30606,30279,1.010799564,0.76935032,1.313835243,2,2,2
1500,32346,31085,1.040566189,0.76935032,1.352525843,2,2,2
0,5898,8189,0.720234461,0.722896032,0.996318183,3,2,1
0,6077,9103,0.667582116,0.722896032,0.923482889,3,2,1
0,6254,8009,0.78087152,0.722896032,1.080198929,3,2,1
200,6043,8163,0.740291559,0.722896032,1.024063664,3,2,1
200,6576,9064,0.725507502,0.722896032,1.003612511,3,2,1
200,6602,8352,0.790469349,0.722896032,1.093475844,3,2,1
400,6148,8271,0.743320034,0.722896032,1.028253028,3,2,1
400,6814,8719,0.781511641,0.722896032,1.081084425,3,2,1
400,6624,8166,0.811168259,0.722896032,1.122109159,3,2,1
600,7224,8543,0.845604589,0.722896032,1.169745788,3,2,1
600,6874,8001,0.859142607,0.722896032,1.188473265,3,2,1
600,6940,8282,0.837961845,0.722896032,1.159173391,3,2,1
0,20918,29861,0.700512374,0.702666648,0.996934146,3,2,2
0,22527,32443,0.694356256,0.702666648,0.988173066,3,2,2
0,22945,32175,0.713131313,0.702666648,1.014892788,3,2,2
800,25789,29162,0.884335779,0.702666648,1.258542415,3,2,2
800,25272,28714,0.88012816,0.702666648,1.252554342,3,2,2
800,26740,30146,0.88701652,0.702666648,1.26235751,3,2,2
1000,26501,30053,0.881808804,0.702666648,1.25494615,3,2,2
1000,28523,29666,0.961471044,0.702666648,1.368317463,3,2,2
1000,27429,30854,0.888993323,0.702666648,1.265170798,3,2,2
1500,27074,31861,0.849753617,0.702666648,1.209326813,3,2,2
1500,26828,32701,0.820403046,0.702666648,1.167556548,3,2,2
1500,27872,33853,0.823324373,0.702666648,1.171714035,3,2,2
0,20146,24489,0.82265507,0.793744227,1.036423374,1,3,1
0,19526,26629,0.733260731,0.793744227,0.923799765,1,3,1
0,19664,23826,0.825316881,0.793744227,1.039776861,1,3,1
200,21256,25675,0.82788705,0.793744227,1.043014893,1,3,1
200,22684,25212,0.899730287,0.793744227,1.133526716,1,3,1
200,22339,26838,0.832364558,0.793744227,1.048655889,1,3,1
400,24342,28224,0.862457483,0.793744227,1.086568511,1,3,1
400,22769,25241,0.902064102,0.793744227,1.136466977,1,3,1
