construct,delta_200,sd_200,delta_400,sd_400,delta_600,sd_600,delta_800,sd_800,delta_1000,sd_1000,delta_1500,sd_1500
IDRBS-109,0.0296245888888889,0.0373202163326877,0.110738666666667,0.0405151345618214,0.240292,0.0403691306416487,0.388991666666667,0.0736279803207483,0.424632666666667,0.108068142486292,0.376526111111111,0.0787902453094519
IDRBS-110,0.0447170888888889,0.0765893687809615,0.0995452555555556,0.0854841686341704,0.147166744444444,0.0630524533303446,0.180886188888889,0.0789110034846764,0.2257323,0.0584071469348786,0.203231188888889,0.0762580114745895
IDRBS-111,0.0432150555555556,0.0269192214873086,0.0890083888888889,0.0270855651822352,0.147947722222222,0.0293644245052486,0.224701055555556,0.0353696221549337,0.258149388888889,0.0476112585486995,0.258104166666667,0.0774831409611471
IDRBS-112,0.0138873777777777,0.116145650215029,0.00392082222222221,0.14260625496839,0.0201574,0.115562997576647,0.0141370444444444,0.11865790509451,0.00387056666666661,0.115400813482661,0.0116576444444444,0.105755293548197
IDRBS-113,0.0572468333333334,0.0302679976578812,0.112621388888889,0.0445913346492747,0.172164388888889,0.0448484042107812,0.2638065,0.0560453399455967,0.352785944444444,0.035931890231663,0.339787166666667,0.0553145208362371
IDRBS-114,0.0282488555555556,0.042608494395194,0.0448579444444445,0.0399730623076376,0.0999736222222222,0.0545421328191972,0.184304622222222,0.0818235476807682,0.180411511111111,0.0810925800431741,0.152193511111111,0.0700114764153607
IDRBS-115,-0.0254398333333334,0.140165489540757,0.0241530666666666,0.0855381891028212,0.128105711111111,0.167093185810003,0.196442122222222,0.115337733064734,0.237811677777778,0.115299581960916,0.310384677777778,0.140809264455014
IDRBS-116,0.0851588666666667,0.0489155212811077,0.180928755555556,0.0312691477690915,0.359038644444444,0.0694163639636237,0.576268088888889,0.0675854740590655,0.7325072,0.086230599609434,0.761002422222222,0.0514241181479755
IDRBS-117,0.0525318555555556,0.0667430292251953,0.0998951333333333,0.0816867713691453,0.124761133333333,0.0650291421313553,0.223766577777778,0.0732136209168721,0.229526688888889,0.112320919901753,0.243525466666667,0.0800231667327656
IDRBS-118,0.1013286,0.017493902009486,0.182621266666667,0.0362336253657083,0.315988266666667,0.0245411397645362,0.377792933333333,0.0649877828906518,0.453667711111111,0.0557294279892016,0.4687716,0.0613572130394423
IDRBS-119,0.0859862333333333,0.0528569481163546,0.183794344444444,0.0607513495658967,0.341212455555556,0.06562774677568,0.513917566666667,0.0741545084576791,0.606048122222222,0.121780669116939,0.612603344444444,0.158319871725892
IDRBS-120,0.0928013,0.0643190109586583,0.194778855555556,0.0807181667078594,0.340816522222222,0.104297192955609,0.507939522222222,0.0525883788243129,0.562706855555556,0.0388121304507724,0.541920966666667,0.075649977804359
IDRBS-121,0.0433314,0.0497189311649748,0.162240311111111,0.0455246272502984,0.346998533333333,0.0770056023547475,0.508821311111111,0.0625420314728712,0.554204533333333,0.123504634114545,0.5142722,0.0927497932861174
IDRBS-122,0.0514757,0.0316931514404138,0.1445547,0.0448364995034737,0.307023366666667,0.0686204980366654,0.4948267,0.0638257503455698,0.623800033333333,0.0509038262822649,0.673197255555556,0.082174926349847
IDRBS-123,0.0958737,0.0493238643489133,0.207320255555556,0.0531602161518628,0.342472922222222,0.0718016483190285,0.483939033333333,0.0576946629694636,0.607749144444445,0.0682945853286538,0.659981922222222,0.0739810982655667
IDRBS-124,0.0627274,0.0532292622884021,0.146920288888889,0.0350820267320549,0.249572733333333,0.0323060215237423,0.362833733333333,0.0526484779845771,0.440099733333333,0.0686609638008927,0.465584288888889,0.0913355879030929
IDRBS-125,0.0293000111111111,0.0390638160681481,0.106303866666667,0.0893568637566947,0.157169866666667,0.0502370608364233,0.2539672,0.0635240416390323,0.268434533333333,0.0563475276803029,0.237972533333333,0.0530827653773567
IDRBS-126,0.0587978222222222,0.0366303774504433,0.122067222222222,0.060996912463271,0.222591111111111,0.0318597637521625,0.307055222222222,0.0418999427138862,0.359825777777778,0.0787878976853485,0.355993444444444,0.0543704837024215
IDRBS-127,0.0420966777777778,0.0285223488316082,0.114121677777778,0.0302673139627874,0.2319879,0.0531539284315138,0.370515233333333,0.0720385090151614,0.482822344444444,0.0575032518100522,0.448708677777778,0.0568060133869817
IDRBS-128,0.0700266333333333,0.0462952690938556,0.163882855555556,0.0483348063857742,0.236922855555556,0.0733226789411044,0.312860744444444,0.083932270838458,0.370109855555556,0.0911396749023183,0.341956522222222,0.0814765718586757
IDRBS-129,0.0620266666666666,0.0334191920575214,0.111007111111111,0.0428983798830283,0.215733777777778,0.0437992368723126,0.280649111111111,0.0520124308131105,0.350826777777778,0.0482069230364991,0.323040444444444,0.113598032903217
IDRBS-130,0.0831919777777778,0.0228098776933798,0.190519422222222,0.0256667690328749,0.3622012,0.0465444579809724,0.547001533333333,0.0605265768432967,0.701988533333333,0.038609108602019,0.737421533333333,0.0497104624889721
